case_number,date,year,type,country,area,activity,fatal,species,pdf
2018.06.25,25-Jun-2018,2018,Boating,USA,California,Paddling,N,White shark,2018.06.25-Wolfe.pdf
2018.06.18,18-Jun-2018,2018,Unprovoked,USA,Georgia,Standing,N,,2018.06.18-McNeely.pdf
2018.06.09,09-Jun-2018,2018,Invalid,USA,Hawaii,Surfing,N,,2018.06.09-Denges.pdf
2018.06.08,08-Jun-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2 m shark,2018.06.08-Arrawarra.pdf
2018.06.04,04-Jun-2018,2018,Provoked,MEXICO,Colima,Free diving,N,"Tiger shark, 3m",2018.06.04-Ramos.pdf
2018.06.03.b,03-Jun-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,N,,2018.06.03.b-FlatRock.pdf
2018.06.03.a,03-Jun-2018,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,Y,Tiger shark,2018.06.03.a-daSilva.pdf
2018.05.27,27-May-2018,2018,Unprovoked,USA,Florida,Fishing,N,"Lemon shark, 3'",2018.05.27-Ponce.pdf
2018.05.26.b,26-May-2018,2018,Unprovoked,USA,Florida,Walking,N,"Bull shark, 6'",2018.05.26.b-High.pdf
2018.05.26.a,26-May-2018,2018,Unprovoked,USA,Florida,Standing,N,,2018.05.26.a-DaytonaBeach.pdf
2018.05.24,24-May-2018,2018,Provoked,AUSTRALIA,Queensland,Feeding sharks,N,Grey reef shark,2018.05.24-CairnsAquarium.pdf
2018.05.21,21-May-2018,2018,Unprovoked,USA,South Carolina,Boogie boarding,N,,2018.05.21-deBoer.pdf
2018.05.13.b,13-May-2018,2018,Unprovoked,USA,South Carolina,Swimming,N,,2018.05.13.b-Turrell.pdf
2018.05.13.a,13-May-2018,2018,Invalid,ENGLAND,Cornwall,Fishing,N,Invalid incident,2018.05.13.a-Berryman.pdf
2018.05.00,May 2018,2018,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,N,"Tawny nurse shark, 2m",2018.05.00-Brunning.pdf
2018.05.12,12-May-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,,2018.05.12-EastLondon.pdf
2018.05.09,09-May-2018,2018,Questionable,AUSTRALIA,New South Wales,Surfing,N,Shark involvement not confirmed,2018.05.09-SharpesBeach.pdf
2018.04.30.R,Reported 30-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Swimming,N,,2018.04.30.R-Thailand.pdf
2018.04.28.b,28-Apr-2018,2018,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,N,Tiger shark,2018.04.28.b-CostaRica.pdf
2018.04.28.a,28-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2018.04.28.a-Murray.pdf
2018.04.25.b,25-Apr-2018,2018,Questionable,AUSTRALIA,New South Wales,Surfing,N,Questionable,2018.04.25.b-Lee.pdf
2018.04.25.a,25-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,3 m shark,2018.04.25.a-Bruce.pdf
2018.04.24,24-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,"White shark, 3.5 m",2018.04.24-Burch.pdf
2018.04.23,23-Apr-2018,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,N,Tiger shark,2018.04.23-Maldives.pdf
2018.04.22,22-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,N,"White shark, 2.5 m",2018.04.22-PlettenbergBay.pdf
2018.04.19,19-Apr-2018,2018,Unprovoked,USA,Hawaii,Body boarding,N,6' shark,2018.04.19-McWilliams.pdf
2018.04.15.d,15-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Swimming,N,Juvenile bull shark,2018.04.15.d-Thailand.pdf
2018.04.15.c,15-Apr-2018,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,UNKNOWN,,2018.04.15.c-deMelo.pdf
2018.04.15.b,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2018.04.15.b-Longrass.pdf
2018.04.15.a,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2018.04.15.a-Travaglini.pdf
2018.04.14,14-Apr-2018,2018,Unprovoked,BAHAMAS,New Providence,Surfing,N,Tiger shark,2018.04.14-Rowan.pff
